id,parent,level,area,bbox
1,,2,21568,"240,0,442,225"
2,,2,98580,"671,0,852,639"
3,,2,6782,"429,0,568,53"
4,,2,38345,"0,0,315,199"
5,,2,147935,"0,75,586,639"
6,,2,75053,"78,119,433,512"
7,,2,9963,"0,0,316,302"
24,1,4,10758,"242,32,399,135"
25,1,4,5550,"321,0,427,103"
26,1,4,4086,"257,95,431,212"
27,2,4,11377,"731,462,852,639"
28,2,4,6890,"730,387,852,619"
29,2,4,2985,"792,0,852,54"
30,2,4,2993,"762,0,851,198"
31,3,4,3846,"430,0,549,36"
32,4,4,2921,"223,0,310,60"
33,5,4,7223,"193,130,353,257"
34,5,4,96988,"309,82,585,639"
35,5,4,39024,"0,367,290,639"
36,5,4,259,"434,80,539,235"
37,6,4,54928,"209,120,432,511"
38,6,4,15495,"83,255,257,454"
39,7,4,8821,"60,142,194,302"
58,24,6,658,"243,96,277,124"
59,25,6,2057,"399,0,427,102"
60,25,6,3278,"322,0,413,52"
61,26,6,1092,"288,139,312,212"
62,27,6,1051,"731,598,762,639"
63,29,6,738,"797,0,825,44"
64,29,6,1871,"808,0,852,53"
65,30,6,553,"763,0,789,39"
66,31,6,524,"430,0,447,29"
67,32,6,650,"223,35,264,60"
68,33,6,1262,"314,150,353,195"
69,34,6,23778,"311,404,459,639"
70,34,6,734,"537,128,557,246"
71,35,6,1386,"98,572,134,639"
72,35,6,15796,"122,499,289,639"
73,35,6,11144,"0,368,93,562"
74,38,6,4970,"85,369,207,452"
75,39,6,3616,"147,143,193,285"
